No;nama;npsn;bentuk_pendidikan;alamat_jalan;desa_kelurahan;kecamatan;kabupaten;provinsi;status_sekolah
1;PKBM SEKOLAH INDONESIA JEDDAH;P9963148;PKBM;5415 Al Zilaq St, Al Rehab Dist 7187, Jeddah K.S.A;Jeddah;Jeddah;Arab Saudi;Luar Negeri;NEGERI
2;PKBM Sekolah Indonesia Riyadh;P9970436;PKBM;8561 Abdullah Ibn Muammar, Umm Al Hamam Al Gharbi? 3536, Riyadh 12328;Riyadh;Riyadh;Arab Saudi;Luar Negeri;NEGERI
3;PKBM BINTANG NUSANTARA LEARNING CENTER BRUNEI DARRUSALLAM;P9980005;PKBM;Jln Pasir Beraka, Bandar Seri Begawan, No. AF7 Simpang 145;Pasir Beraka;Bandar Seri Begawan;Brunei Darussalam;Luar Negeri;SWASTA
4;PKBM BINTANG NUSANTARA LEARNING CENTER BRUNEI DARRUSALLAM;P9980006;PKBM;Jln Pasir Beraka, Bandar Seri Begawan, No. AF7 Simpang 145;Pasir Beraka;Bandar Seri Begawan;Brunei Darussalam;Luar Negeri;SWASTA
5;PKBM PEKING;P9996737;PKBM;Beijing 100600, Chayong District, No. 4 Dongzhimen Wai Street;Chaoyang;Beijing;Cina;Luar Negeri;SWASTA
6;PKBM BINTANG NUSANTARA LEARNING CENTER (BNLC);P9959980;PKBM;Room 1C 1st Floor Wing Lok Trade Center 235;Sheung Wang;Hong Kong;Cina;Luar Negeri;SWASTA
7;PKBM NISHIO DARUSSALAM;P9997325;PKBM;Ichigawara  79 5 Tanuki  NIshio Aichi Jepang;Tokyo;Tokyo;Japan;Luar Negeri;NEGERI
8;SEKOLAH INDONESIA TERBUKA (SIT) Johor Bahru;P9956857;PKBM;No 46 Jalan Taat 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
9;PKBM SEKOLAH INDONESIA TERBUKA (SIT) Johor Bahru;P9956777;PKBM;No 46 Jalan Taat 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
10;PKBM Sekolah Indonesia Johor Bahru;P9956851;PKBM;Jl. Taat No 46 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
11;PKBM KJRI KOTA KINABALU;P9959982;PKBM;No. 1 Jl. 3B KKIP Selatan 88450, Kota Kinabalu, Sabah, Malaysia;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
12;PKBM PNF-KBRI Kuala Lumpur;P9959640;PKBM;-;Kuala Lumpur;Kuala Lumpur;Malaysia;Luar Negeri;SWASTA
13;PKBM P3K SI LUAR NEGERI SINGAPURA;P9960029;PKBM;20A SIGLAP ROAD SINGAPORE 455859;Singapura;Singapura;Singapura;Luar Negeri;SWASTA
14;PKBM Bhakti Jaya Indonesia;P9947972;PKBM;11F, 205 Chang An W Road;Datong District;Taipe;Taiwan;Luar Negeri;SWASTA
15;PKBM PPI Taiwan;P9908880;PKBM;Jln. Rui Guang Rd No.550;Neihu District;Taipe;Taiwan;Luar Negeri;SWASTA
16;PKBM Muhammadiyah Taiwan;P9970165;PKBM;BIF. No. 88, Alley 76, Lane 600, Wuxing Street, Taipei City;Xinyi District;Taipe;Taiwan;Luar Negeri;SWASTA
17;SEKOLAH INDONESIA JEDDAH TINGKAT SMP;90101015;SMP;District 7155, 5421 Az Zilaq, Ar Rehab, Jeddah 23343, Saudi Arabia;Jeddah;Jeddah;Arab Saudi;Luar Negeri;NEGERI
18;SEKOLAH INDONESIA MAKKAH TINGKAT SMP;90101056;SMP;Hera Complex, District Al-Gassalah Jabal Nur Makkah;District Al-Gassalah;Mekkah;Arab Saudi;Luar Negeri;NEGERI
19;SEKOLAH INDONESIA RIYADH TINGKAT SMP;90101008;SMP;8561 Abdullah Ibn Muammar, Umm Al Hamam Al Gharbi 3536, Riyadh 12328;Riyadh;Riyadh;Arab Saudi;Luar Negeri;NEGERI
20;SMP Sekolah Indonesia Den Haag;90101058;SMP;Rijksstraatweg 679, 2245 CB Wassenaar, The Netherlands;Wassenaar;Wassenaar;Belanda;Luar Negeri;NEGERI
21;LC Laensasi (Mindanao-Filipina);9LN01102;SMP;-;-;Davao City;Filipina;Luar Negeri;SWASTA
22;LC Tupi (Mindanao-Filipina);9LN01101;SMP;-;-;Davao City;Filipina;Luar Negeri;SWASTA
23;SEKOLAH INDONESIA DAVAO TINGKAT SMP;90101047;SMP;MELATI ST. ECOLAND SUBD. MATINA, DAVAO CITY  - FILIPINA;Davao City;Davao City;Filipina;Luar Negeri;SWASTA
24;SEKOLAH SI DAVAO TINGKAT SMP;90101033;SMP;KONSULAT JENDERAL RI ECOLAND SUBDIVISION, MATINA, DAVAO CITY FILIPINA;Davao City;Davao City;Filipina;Luar Negeri;NEGERI
25;Sekolah SI Tokyo Tingkat SMP;90101024;SMP;Sekolah Indonesia Tokyo No. 4-6-6, Meguro Meguro-Ku, Tokyo 153-0063;Meguro-ku;Tokyo;Japan;Luar Negeri;NEGERI
26;SEKOLAH SI JOHOR BAHRU (SIJB) TINGKAT SMP;69962249;SMP;No 46 Jalan Taat 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
27;SMP Sekolah Indonesia Johor Bahru;69947685;SMP;Jl. Taat No 46 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
28;LC SMP TENOM;9LN01112;SMP;Kampung Baru Jumpa, Jl. Kemabong, Batu 16, Tenom, Sabah.;KENINGAU;Keningau;Malaysia;Luar Negeri;NEGERI
29;LC Derawan Takau (Serawak-Malaysia);9LN01122;SMP;-;-;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
30;LC Saremas (Serawak-Malaysia);9LN01121;SMP;-;-;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
31;LC Pamol Sandakan;9LN01096;SMP;pamol-telupid. sandakan;APAS BALUNG;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
32;LC Genting Mewah;9LN01109;SMP;Genting Mewah Estate, Kinabatangan, Sabah, Malaysia;GENTING MEWAH ESTATE;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
33;LC Genting Tanjung;9LN01120;SMP;Simp.Jeroco, Genting Tanjung, Kinabatangan;GENTING TANJUNG ESTATE;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
34;SEKOLAH INDONESIA KOTA KINABALU TINGKAT SMP;90101050;SMP;Jalan 3B No 6 KKIP Selatan Dua Kota Kinabalu Sabah, Malaysia 88460;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
35;LC SMP PENAMPANG;9LN01085;SMP;Kg. Kituau, Jalan Limbanak, Penampang, Sabah, Malaysia;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
36;LC Merotai, Tawau;9LN01089;SMP;Ladang Sime Darby Plantation, Merotai Kecil, Tawau;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
37;CLC Pahang 2;69972057;SMP;LADANG PAHANG OIL PALM ESTATE DIV 2. 90200. KINABATANGAN, SABAH, MALAYSIA ;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
38;LC Kota Kinabalu;9LN01083;SMP;Kota Kinabalu, Sabah, Malaysia;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
39;LC Lumadan Beufort;9LN01119;SMP;Lumadan Beaufort;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
40;CLC SMPT Keningau;9LN01084;SMP;Jalan Nabawan Batu 5, Kampung Suan Biah, Keningau;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
41;CLC Permodalan;9LN01092;SMP;Ladang Permodalan 1, Jl. Jeroco;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
42;LC Genting Suan Lamba;9LN01095;SMP;Ladang Genting Suan Lamba, Jalan Sukau, Kinabatangan, 90710, Sabah;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
43;LC Pontian Fico (Asia Oil Palm);9LN01091;SMP;Pontian Fico Estate;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
44;CLC KL KEPONG;9LN01114;SMP;KL KEPONG (SABAH) SDN BHD. LOCKED NO 3. POS CODE 91009;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
45;CLC SMPT PAHANG 2;69972047;SMP;LADANG PAHANG OIL PALM ESTATE DIV 2. 90200. KINABATANGAN, SABAH, MALAYSIA ;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
46;LC Tomanggong, Kinabatangan;9LN01087;SMP;Kinabatangan;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
47;LC Prolific;9LN01111;SMP;-;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
48;LC Jeroco;9LN01113;SMP;-;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
49;LC Balung River;9LN01116;SMP;BALUNG RIVER ECO RESORT, TAWAU, MALAYSIA;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
50;LC Kertam Kalabakan (tawau);9LN01118;SMP;Kalabakan;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
51;CLC Pegagau;9LN01110;SMP;Pegagau Estate, Sawit Kinabalu, Semporna Sabah, Malaysia;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
52;LC  Jeleta Bumi;9LN01100;SMP;-;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
53;LC Nabawan;9LN01103;SMP;Jalan Tawau Batu 50 Sinjaya;Kinabalu;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
54;LC Batu Rong, Kunak-Tawau;9LN01093;SMP;Ladang Baturong 1, IOI Grup SDN.BHD, 91109 Kunak;LAHAD DATU;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
55;CLC PONTIAN HILLCO;9LN01108;SMP;Ladang Hillco Peti Surat 60525, 91114 Lahad Datu;LAHAD DATU;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
56;LC Luang Manis;9LN01115;SMP;Mile 45 Sandakan - Sabah W.D.T 164, 90009;LUANG MANIS ESTATE;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
57;LC Gamore;9LN01099;SMP;MAYVIN 5 ESTATE;MAYVIN 5 ESTATE;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
58;LC Melangking;9LN01097;SMP;Melangking MOP A Sukau Kinabatangan Sabah Malaysia;MELANGKING;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
59;LC Mostyn, Tawau;9LN01088;SMP;Ladang Mostyn, Jln. Kunak Tawau km 7,Sabah;MOSTYN;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
60;LC Sabah Mas Lahadatu;9LN01086;SMP;-;SABAH MAS ESTATE;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
61;LC Borneo Samudera, Lahadatu;9LN01094;SMP;Ladang Sandau Sawit Kinabalu, Lahad Datu, SABAH, MALAYSIA;SANDAU;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
62;LC Ladang Sapi, Sandakan;9LN01090;SMP;Sapi Plantation, Sapi Estate, Locked Bag 34, 90009, Sandakan, Sabah, Malaysia;SAPIDUA;Kota Kinabalu;Malaysia;Luar Negeri;SWASTA
63;LC Segaria;9LN01117;SMP;Jalan Kunak - Semporna KM 30 Boustead Plantations Ladang Segaria;SEGARIA;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
64;CLC Sungai Balung;9LN01098;SMP;Ladang Sungai Balung Estate-Tawau;SUNGAI BALUNG;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
65;LC  Sungai Menanggol;9LN01107;SMP;Sabah, Malaysia;SUNGAI MENANGGOL ESTATE;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
66;LC Syarimo;9LN01105;SMP;AGROPLEX (SABAH) SDN BHD;SYARIMO ESTATE;Kota Kinabalu;Malaysia;Luar Negeri;NEGERI
67;SEKOLAH SI KUALA LUMPUR TINGKAT SMP;90101018;SMP;LORONG TUN ISMAIL NO. 1 50480 KUALA LUMPUR, MALAYSIA;KUALA LUMPUR;Kuala Lumpur;Malaysia;Luar Negeri;SWASTA
68;CLC Holy Trinity;9LN01123;SMP;Jalan Melati-Kuhara Batu 1,5, 91000, Tawau;-;Sabah;Malaysia;Luar Negeri;SWASTA
69;CLC Keningau Bingkor;9LN01120;SMP;Jln Kuango Bingkor Keningau;-;Sabah;Malaysia;Luar Negeri;SWASTA
70;CLC Lembah Danum;9LN01122;SMP;Felcra Berhad Estet Danum KM.15 Jalan Silam;-;Sabah;Malaysia;Luar Negeri;SWASTA
71;CLC Kertam Sepagaya;9LN01117;SMP;Sandakan, Sabah, Malaysia;-;Sabah;Malaysia;Luar Negeri;SWASTA
72;CLC Permai;9LN01116;SMP;Ladang Permai, 91117 Lahad Datu;-;Sabah;Malaysia;Luar Negeri;SWASTA
73;CLC Giram;9LN01115;SMP;Giram Estate, Sime Darby Plantation;-;Sabah;Malaysia;Luar Negeri;SWASTA
74;CLC Kundasang;9LN01121;SMP;Jalan Kundasang, 89300 Kundasang;-;Sabah;Malaysia;Luar Negeri;SWASTA
75;CLC Keningau Bingkor;9LN01161;SMP;Jln Kuango Bingkor Keningau;Beaufort;Sabah;Malaysia;Luar Negeri;NEGERI
76;CLC Giram;9LN01156;SMP;Giram Estate, Sime Darby Plantation;Kunak;Sabah;Malaysia;Luar Negeri;NEGERI
77;CLC Kundasang;9LN01162;SMP;Jalan Kundasang, 89300 Kundasang;Kunak;Sabah;Malaysia;Luar Negeri;SWASTA
78;CLC SMP FELCRA ESTET DANUM;9LN01163;SMP;Felcra Berhad Estet Danum, KM 15 Jln. Silam, 91125 Lahad Datu, Sabah-Malaysia;Kunak;Sabah;Malaysia;Luar Negeri;NEGERI
79;CLC Kertam Sepagaya;9LN01158;SMP;Sandakan, Sabah, Malaysia;Kunak;Sabah;Malaysia;Luar Negeri;NEGERI
80;CLC Permai;9LN01157;SMP;Ladang Permai, 91117 Lahad Datu;Lahad Datu;Sabah;Malaysia;Luar Negeri;NEGERI
81;CLC SPAD Ladang 3 (Sarawak);9LN01118;SMP;SPAD Commercial Centre Ladang 3, KM75 Miri-Bintulu Road;-;Serawak;Malaysia;Luar Negeri;SWASTA
82;CLC SOPB Ladang Lambir (Sarawak);9LN01119;SMP;Ladang lambir estate KM 41, Miri;-;Serawak;Malaysia;Luar Negeri;SWASTA
83;CLC SOPB Ladang Lambir (Sarawak);9LN01160;SMP;Ladang lambir estate KM 41, Miri;-;Serawak;Malaysia;Luar Negeri;SWASTA
84;CLC SPAD Ladang 3 (Sarawak);9LN01159;SMP;SPAD Commercial Centre Ladang 3, KM75 Miri-Bintulu Road;-;Serawak;Malaysia;Luar Negeri;SWASTA
85;LC SMP SARAWAK;9LN01104;SMP;-;Miri;Serawak;Malaysia;Luar Negeri;NEGERI
86;CLC SMP FGV SAHABAT;69981517;SMP;Kompleks Felda, Lahad Datu, 91100;LAHAD DATU;Tawau;Malaysia;Luar Negeri;NEGERI
87;CLC Holy Trinity;9LN01164;SMP;Jalan Melati-Kuhara Batu 1,5, 91000, Tawau;TAWAU;Tawau;Malaysia;Luar Negeri;NEGERI
88;CLC SMP BENTA WAWASAN;9LN01106;SMP;Ladang Benta belian, Benta wawasan Sdn BHD, Kalabakan, tawau;TAWAU;Tawau;Malaysia;Luar Negeri;NEGERI
89;SEKOLAH SI CAIRO TINGKAT SMP;90101005;SMP;63 MUSADDAK STR. DOKKI , PO. BOX 1661, CAIRO-EGYPT;Cairo;Cairo;Mesir;Luar Negeri;NEGERI
90;SEKOLAH SI YANGON TINGKAT SMP;90101030;SMP;100, LOWER KYIMYINDINE ROAD, AHLONE YANGON, MYANMAR;Yangon;Yangon;Myanmar;Luar Negeri;NEGERI
91;SEKOLAH SI MOSCOW TINGKAT SMP;90101036;SMP;NOVOKUZNETSKAYA ULITSA 12 MOSKOW FEDERASI RUSIA;-;Moskow;Rusia;Luar Negeri;SWASTA
92;SEKOLAH SI BEOGRAD TINGKAT SMP;90101052;SMP;BEOGRAD;BEOGRAD;Beograd;Serbia;Luar Negeri;SWASTA
93;SEKOLAH INDONESIA (SINGAPURA) TINGKAT SMP;90101021;SMP;SINGAPURA SIGLAP ROAD SINGAPORE 455859;Singapura;Singapura;Singapura;Luar Negeri;NEGERI
94;SEKOLAH SI DAMASKUS TINGKAT SMP;90101011;SMP;MADINAH MUNAWWARAH STREET 132 PO. BOX 3530 DAMASCUS SYRIA;DAMASCUS;Damaskus;Syria;Luar Negeri;SWASTA
95;SEKOLAH SI BANGKOK TINGKAT SMP;90101027;SMP;Indonesian Embassy 600-602 Petchburi Road, Phyathai, Ratchathewi, Bangkok 10400;Phayathai;Bangkok;Thailand;Luar Negeri;NEGERI
96;MTSN 6 ACEH BARAT;10114352;MTs;DESA SIMPANG PEUT;Simpang Peut;Kec. Arongan Lambalek;Kab. Aceh Barat;Prov. Aceh;NEGERI
97;MTSS BANDA LAYUNG;10114353;MTs;JLN. MEULABOH-KUALA BHEE, KM.24. DESA KUTA PADANG KEC. BUBON KAB. ACEH BARAT;-;Kec. Bubon;Kab. Aceh Barat;Prov. Aceh;SWASTA
98;MTSS SERAMBI MEKKAH;10114359;MTs;KOMPLEK SERAMBI MEKKAH MEULABOH;-;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;SWASTA
99;MTSS NURUL HUDA;10114356;MTs;JL. T. UMAR MEULABOH KOMPLEK MASJID NURUL HUDA;-;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;SWASTA
100;MTSS BABUSSALAM;10114355;MTs;JALAN CUT MUTIA KOMPLEK PESANTREN BABUSSALAM MEULABOH;-;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;SWASTA
101;MTSS NURUL FALAH;10114357;MTs;JL.IMAM BONJOL,KOMPLEK, MASJID AGUNG MEULABOH;-;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;SWASTA
102;MTSN 3 ACEH BARAT;10114354;MTs;JL. MANEKRO;-;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;NEGERI
103;MTSS HARAPAN BANGSA;10114358;MTs;JL. SYIAH KAUALA-KUTA PADANG MEULABOH;-;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;SWASTA
104;MTs Tunas Cendekia Al-Azhar;70027883;MTs;Jln. Sisingamangaraja, Kel. Drien Rampak, Kec. Johan Pahlawan, Kab. Aceh Barat;DRIEN RAMPAK;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;SWASTA
105;MTS Ruhul Qur`ani;70044786;MTs;Jl. Ujong Beurasok - Putroe Ijo;LEUHAN;Kec. Johan Pahlawan;Kab. Aceh Barat;Prov. Aceh;SWASTA
106;MTSN 2 ACEH BARAT;10114360;MTs;JL. MEULABOH - TUTUT KEC. KAWAY XVI ACEH BARAT;-;Kec. Kaway XVI;Kab. Aceh Barat;Prov. Aceh;NEGERI
107;MTSN MEUREUBO;10114361;MTs;JLN. DATOK JANGGOT MEUH;-;Kec. Meureubo;Kab. Aceh Barat;Prov. Aceh;NEGERI
108;MTSS DARUL HIKMAH;10114362;MTs;JALAN MEULABOH TAPAK TUAN KM.6 PEUNAGA RAYEUK;Peunaga Rayeuk;Kec. Meureubo;Kab. Aceh Barat;Prov. Aceh;SWASTA
109;MTSS PANTE CEUREUMEN;10114363;MTs;JALAN MEULABOH-PANTE CEUREUMEN KM. 36;-;Kec. Pantee Ceureumen;Kab. Aceh Barat;Prov. Aceh;SWASTA
110;MTSS KRUENG MANGGI;10114364;MTs;JLN.MEULABOH-TUTUT KM.34;-;Kec. Panton Reu;Kab. Aceh Barat;Prov. Aceh;SWASTA
111;MTSN 1 ACEH BARAT;10114366;MTs;SUAK TIMAH - KUALA BEE;-;Kec. Samatiga;Kab. Aceh Barat;Prov. Aceh;NEGERI
112;MTSN 4 ACEH BARAT;10114365;MTs;JALAN PENDIDIKAN NO 05;-;Kec. Samatiga;Kab. Aceh Barat;Prov. Aceh;NEGERI
113;MTSN 5 ACEH BARAT;10114367;MTs;JLN MEULABOH - KUALA BHEE;-;Kec. Woyla;Kab. Aceh Barat;Prov. Aceh;NEGERI
114;MTSS MON PASONG;10114368;MTs;JLN.PASIMALI - MON PASONG;-;Kec. Woyla Barat;Kab. Aceh Barat;Prov. Aceh;SWASTA
115;MTSS BABAHROT;10114102;MTs;JLN MEULABOH - BLANGPIDIE;PANTEE CERMIN;Kec. Babahrot;Kab. Aceh Barat Daya;Prov. Aceh;SWASTA
116;MTSN 4 ACEH BARAT DAYA;10114103;MTs;JLN.KRUENG BEUKAH NO.19;GUHANG;Kec. Blangpidie;Kab. Aceh Barat Daya;Prov. Aceh;NEGERI
117;MTS Banu Ibrahim;70058169;MTs;Dusun II, Lr. Alue Badeuk,;COT MANE;Kec. Jeumpa;Kab. Aceh Barat Daya;Prov. Aceh;SWASTA
118;MTSN 3 ACEH BARAT DAYA;10114104;MTs;JLN. MEULABOH TAPAK TUAN;PADANG SIKABU;Kec. Kuala Batee;Kab. Aceh Barat Daya;Prov. Aceh;NEGERI
119;MTSS LAMA INONG;10114105;MTs;JALAN NASIONAL MEULABOH-BLANGPIDIE;PASAR KOTA BAHAGIA;Kec. Kuala Batee;Kab. Aceh Barat Daya;Prov. Aceh;SWASTA
120;MTsS MIFTAHUSSALAM;69941428;MTs;JL. TGK. PEUKAN LADANG TUHA 1;-;Kec. Lembah Sabil;Kab. Aceh Barat Daya;Prov. Aceh;SWASTA
121;MTSN 2 ACEH BARAT DAYA;10114106;MTs;JLN. P.U. MEULABOH-TAPAKTUAN NO. 51;Paya;Kec. Manggeng;Kab. Aceh Barat Daya;Prov. Aceh;NEGERI
122;MTSN 1 ACEH BARAT DAYA;10114107;MTs;JLN. PENDIDIKAN NO. 56;Pantai Perak;Kec. Susoh;Kab. Aceh Barat Daya;Prov. Aceh;NEGERI
123;MTSS TANGAN-TANGAN;10114108;MTs;JLN. PU MEULABOH TAPAKTUAN;-;Kec. Tangan-Tangan;Kab. Aceh Barat Daya;Prov. Aceh;SWASTA
124;MTSS DARUL HIKMAH;10114369;MTs;KAJHU BAITUSSALAM;KAJHU;Kec. Baitussalam;Kab. Aceh Besar;Prov. Aceh;SWASTA
125;MTSS DARUL MUTA ALIMIN;10114370;MTs;Jl. Bandara Sultan Iskandar Muda Km. 12,5;Meulayo;Kec. Blang Bintang;Kab. Aceh Besar;Prov. Aceh;SWASTA
126;MTSS DARUL MUTA ALIMIN;69726708;MTs;JL. BANDARA SULTAN ISKANDAR MUDA KM 12,5 DESA MEULAYO;Meulayo;Kec. Blang Bintang;Kab. Aceh Besar;Prov. Aceh;SWASTA
127;MTs Samudera Pasai Madani;70033052;MTs;Jln. Umong Guci;JEUMPET AJUN;Kec. Darul Imarah;Kab. Aceh Besar;Prov. Aceh;SWASTA
128;MTSN 8 ACEH BESAR;10114371;MTs;JL. PEUKAN BILUY KM. 7  COT GUE;KUTA KARANG;Kec. Darul Imarah;Kab. Aceh Besar;Prov. Aceh;NEGERI
129;MTSS KEUTAPANG DUA;10100346;MTs;JL. HADIAH DESA LAMBHEU KEUTAPANG DUA;Lam Bheu;Kec. Darul Imarah;Kab. Aceh Besar;Prov. Aceh;SWASTA
130;MTs TEUNGKU CHIK PANTE KULU;70028418;MTs;JL. T. NYAK ARIF;BERABUNG;Kec. Darussalam;Kab. Aceh Besar;Prov. Aceh;SWASTA
131;MTSS DARUL AMAN;10114375;MTs;Jln Blang Bintang Lama Desa Lampuuk Kec Darussalam Kab Aceh Besar;Lampuuk;Kec. Darussalam;Kab. Aceh Besar;Prov. Aceh;SWASTA
132;MTSS DARUL IHSAN;10114374;MTs;JL. TGK. GLEE INIEM;SIEM;Kec. Darussalam;Kab. Aceh Besar;Prov. Aceh;SWASTA
133;MTs Ahlul Qur`an;70031551;MTs;Jln. Ujong Blang, desa tanjung Deah, Kec. Darussalam;TANJUNG DEAH;Kec. Darussalam;Kab. Aceh Besar;Prov. Aceh;SWASTA
134;MTSN 2 ACEH BESAR;10114373;MTs;TUNGKOB;TUNGKOB;Kec. Darussalam;Kab. Aceh Besar;Prov. Aceh;NEGERI
135;MTSS TGK CHIEK UMAR DIYAN;10100336;MTs;KRUENG LAMKAREUNG;-;Kec. Indrapuri;Kab. Aceh Besar;Prov. Aceh;SWASTA
136;MTSS TGK CHIEK OEMAR DIYAN;10114377;MTs;KRUENG LAMKAREUNG;KRUENG LAMKAREUNG;Kec. Indrapuri;Kab. Aceh Besar;Prov. Aceh;SWASTA
137;MTSN 1 ACEH BESAR;10114376;MTs;JL. T. CHIK DITIRO NO. 52;PASAR INDRAPURI;Kec. Indrapuri;Kab. Aceh Besar;Prov. Aceh;NEGERI
138;MTSS MON MALEM;10114379;MTs;JL. BANDARA SULTAN ISKANDAR MUDA KM.12,5 DESA COT SURUY.;COT SURUY;Kec. Ingin Jaya;Kab. Aceh Besar;Prov. Aceh;SWASTA
139;MTSS ASAASUNNAJAAH;10114378;MTs;JLN. BANDARA SULTAN ISKANDAR MUDA DESA ATEUK LUENG IE KEMUKIMAN GANI KECAMATAN;DESA ATEUK LUENG;Kec. Ingin Jaya;Kab. Aceh Besar;Prov. Aceh;SWASTA
140;MTSS AL-FAUZUL KABIR;10114382;MTs;JALAN PROFESOR MAJID IBRAHIM;KOTA JANTHO;Kec. Kota Jantho;Kab. Aceh Besar;Prov. Aceh;SWASTA
141;MTSS LAM UJONG;10114384;MTs;DESA GLA MEUNASAH BARO;GLA MEUNASAH BARO;Kec. Krung Barona Jaya;Kab. Aceh Besar;Prov. Aceh;SWASTA
142;MTSS AL-MANAR;10114383;MTs;JL. Inspeksi Krueng Aceh, Desa Lampermai;LAMPERMAI;Kec. Krung Barona Jaya;Kab. Aceh Besar;Prov. Aceh;SWASTA
143;MTSS BINA INSAN CENDEKIA;10114386;MTs;JL. BLANG BINTANG LAMA;GUE;Kec. Kuta Baro;Kab. Aceh Besar;Prov. Aceh;SWASTA
144;MTSN 7 ACEH BESAR;10114385;MTs;JL. Blang Bintang Lama Aceh Besar;Lamceu;Kec. Kuta Baro;Kab. Aceh Besar;Prov. Aceh;NEGERI
145;MTSS LAMPAKU;10100342;MTs;JL. LIMPOH RAJA LAMPAKU;Lampoh Raja;Kec. Kuta Cot Glie;Kab. Aceh Besar;Prov. Aceh;SWASTA
146;MTSS NURUL HIKMAH;10114388;MTs;JL. BANDA ACEH - MEDAN KM.19 SAMAHANI ACEH BESAR;SAMAHANI;Kec. Kuta Malaka;Kab. Aceh Besar;Prov. Aceh;SWASTA
147;MTSS SAMAHANI;10114387;MTs;JL. BANDA ACEH-MEDAN KM. 19;SAMAHANI;Kec. Kuta Malaka;Kab. Aceh Besar;Prov. Aceh;SWASTA
148;MTs SINAR DESA INSAN QURANI;70013921;MTs;Jln. Banda Aceh-Meulaboh, KM. 21. Gp. Dayah Mamplam;DAYAHMAMPLAM;Kec. Leupung;Kab. Aceh Besar;Prov. Aceh;SWASTA
149;MTSN 3 ACEH BESAR;10114389;MTs;JLN.BANDA ACEH-MEULABOH KM.14;LAMKRUET;Kec. Lhoknga;Kab. Aceh Besar;Prov. Aceh;NEGERI
150;MTSS LAMPOH BEUT;10114390;MTs;JLN. LAMLHOM-LAMPUUK;MEUNASAH BEUTONG;Kec. Lhoknga;Kab. Aceh Besar;Prov. Aceh;SWASTA
